_____________________________________________________________________________________________________________________________
|Thöa |  DiÖn tÝch |   T©m X    |     T©m Y  |  Lo¹i ®Êt  |        Tªn chñ sö dông         |           §Þa chØ              |
| 340 |  400055.75 |   49730.61 |      216.0 |          T |                                |                                |
| 341 |  400175.59 |   49728.25 |      165.0 |          T |                                |                                |
| 342 |  400184.56 |   49740.36 |      162.0 |          T |                                |                                |
| 343 |  400256.21 |   49727.49 |      477.0 |          T |                                |                                |
| 344 |  400302.13 |   49720.47 |      824.0 |          T |                                |                                |
| 345 |  400328.31 |   49734.14 |      900.0 |          T |                                |                                |
| 346 |  399868.15 |   49705.05 |     1701.0 |          T |                                |                                |
| 347 |  399950.69 |   49706.31 |     2180.0 |          T |                                |                                |
| 348 |  400007.28 |   49716.13 |     1485.0 |          T |                                |                                |
| 349 |  400035.26 |   49711.41 |      527.0 |          T |                                |                                |
| 350 |  400099.37 |   49732.63 |      147.0 |          T |                                |                                |
| 351 |  400101.47 |   49715.00 |      293.0 |          T |                                |                                |
| 352 |  400102.18 |   49705.45 |      214.0 |          T |                                |                                |
| 353 |  400105.67 |   49700.20 |      205.0 |          T |                                |                                |
| 354 |  400159.41 |   49722.19 |      143.0 |          T |                                |                                |
| 355 |  400168.74 |   49714.45 |      490.0 |          T |                                |                                |
| 356 |  400234.52 |   49714.11 |     1442.0 |          T |                                |                                |
| 357 |  400277.45 |   49704.63 |      444.0 |          T |                                |                                |
| 358 |  400315.22 |   49705.71 |      484.0 |          T |                                |                                |
| 359 |  399908.95 |   49704.68 |     1143.0 |          T |                                |                                |
| 360 |  399924.89 |   49690.69 |     1088.0 |          T |                                |                                |
| 361 |  399972.12 |   49687.87 |      335.0 |          T |                                |                                |
| 362 |  399989.89 |   49689.66 |       93.0 |          T |                                |                                |
| 363 |  400002.22 |   49681.54 |      540.0 |          T |                                |                                |
| 364 |  400018.76 |   49696.20 |      528.0 |          T |                                |                                |
| 365 |  400065.25 |   49693.44 |      501.0 |          T |                                |                                |
| 368 |  400174.06 |   49701.92 |      267.0 |          T |                                |                                |
| 369 |  400187.91 |   49691.87 |     1168.0 |          T |                                |                                |
| 370 |  400264.00 |   49695.32 |      277.0 |          T |                                |                                |
| 371 |  400389.51 |   49698.14 |     4684.0 |          T |                                |                                |
| 372 |  400488.02 |   49696.46 |     1637.0 |          T |                                |                                |
| 373 |  399986.16 |   49669.09 |      271.0 |          T |                                |                                |
| 374 |  400043.59 |   49667.90 |      714.0 |          T |                                |                                |
| 375 |  400085.17 |   49678.71 |      797.0 |          T |                                |                                |
| 376 |  400185.60 |   49665.94 |      155.0 |          T |                                |                                |
| 377 |  400236.16 |   49669.49 |     1323.0 |          T |                                |                                |
| 378 |  400527.56 |   49673.29 |    19694.0 |          T |                                |                                |
| 379 |  400205.94 |   49655.25 |      229.0 |          T |                                |                                |
| 380 |  400306.41 |   49657.13 |     1106.0 |          T |                                |                                |
| 381 |  400078.30 |   49706.88 |      643.0 |          T |                                |                                |
| 382 |  399988.28 |   50178.45 |      193.0 |          T |                                |                                |
| 383 |  399999.87 |   50275.01 |      182.0 |          T |                                |                                |
| 384 |  400048.00 |   50342.22 |      680.0 |          T |                                |                                |
| 385 |  400035.07 |   50122.98 |      252.0 |          T |                                |                                |
